/home/shenshiyu/SmartTrafficFramework/dataloader.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.indices = torch.tensor(self.indices.clone().detach(),dtype=torch.int64)
Train epoch     86/100   |  Loss: 0.12189514  |  Acc: 72.23%   |  Acc_inner: 95.72%   |  LR: 0.00004759  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.04   m  |  Total time: 1.95   m
Train epoch     87/100   |  Loss: 0.10901435  |  Acc: 72.69%   |  Acc_inner: 96.33%   |  LR: 0.00004112  | Load data time: 0.35...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.05   m  |  Total time: 1.98   m
Train epoch     88/100   |  Loss: 0.11554972  |  Acc: 72.39%   |  Acc_inner: 95.93%   |  LR: 0.00003511  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.06   m  |  Total time: 1.99   m
Train epoch     89/100   |  Loss: 0.10208544  |  Acc: 72.95%   |  Acc_inner: 96.67%   |  LR: 0.00002956  | Load data time: 0.35...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.04   m  |  Total time: 1.97   m
Train epoch     90/100   |  Loss: 0.10166177  |  Acc: 73.10%   |  Acc_inner: 96.88%   |  LR: 0.00002447  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.44   m  |  Backward time: 0.87   m  |  Total time: 1.72   m
Train epoch     91/100   |  Loss: 0.10985470  |  Acc: 72.59%   |  Acc_inner: 96.20%   |  LR: 0.00001985  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.05   m  |  Total time: 1.95   m
Train epoch     92/100   |  Loss: 0.12533744  |  Acc: 72.08%   |  Acc_inner: 95.52%   |  LR: 0.00001571  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 1.04   m  |  Total time: 1.92   m
Train epoch     93/100   |  Loss: 0.10963424  |  Acc: 72.39%   |  Acc_inner: 95.93%   |  LR: 0.00001204  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.03   m  |  Total time: 1.93   m
Train epoch     94/100   |  Loss: 0.10501518  |  Acc: 72.75%   |  Acc_inner: 96.40%   |  LR: 0.00000886  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.44   m  |  Backward time: 0.86   m  |  Total time: 1.70   m
Train epoch     95/100   |  Loss: 0.11960826  |  Acc: 72.44%   |  Acc_inner: 95.99%   |  LR: 0.00000616  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.94   m  |  Total time: 1.81   m
